"metric","time_period","end_timestamp","value","created_date"
"profile_views","day","2021-09-04 07:00:00+00",46,"2021-09-05 12:00:43.57191+00"
"reach","day","2021-09-04 07:00:00+00",151,"2021-09-05 12:00:43.57191+00"
"website_clicks","day","2021-09-04 07:00:00+00",1,"2021-09-05 12:00:43.57191+00"
"impressions","day","2021-09-05 07:00:00+00",282,"2021-09-06 12:00:42.567188+00"
"profile_views","day","2021-09-05 07:00:00+00",28,"2021-09-06 12:00:42.567188+00"
"reach","day","2021-09-05 07:00:00+00",103,"2021-09-06 12:00:42.567188+00"
"website_clicks","day","2021-09-05 07:00:00+00",3,"2021-09-06 12:00:42.567188+00"
"impressions","day","2021-09-06 07:00:00+00",85,"2021-09-07 12:00:41.803638+00"
"profile_views","day","2021-09-06 07:00:00+00",30,"2021-09-07 12:00:41.803638+00"
"reach","day","2021-09-06 07:00:00+00",49,"2021-09-07 12:00:41.803638+00"
"website_clicks","day","2021-09-06 07:00:00+00",0,"2021-09-07 12:00:41.803638+00"
"impressions","day","2021-09-07 07:00:00+00",50,"2021-09-08 12:00:39.118117+00"
"profile_views","day","2021-09-07 07:00:00+00",27,"2021-09-08 12:00:39.118117+00"
"reach","day","2021-09-07 07:00:00+00",29,"2021-09-08 12:00:39.118117+00"
"website_clicks","day","2021-09-07 07:00:00+00",0,"2021-09-08 12:00:39.118117+00"
"impressions","day","2021-09-08 07:00:00+00",138,"2021-09-09 12:00:41.615034+00"
"profile_views","day","2021-09-08 07:00:00+00",32,"2021-09-09 12:00:41.615034+00"
"reach","day","2021-09-08 07:00:00+00",44,"2021-09-09 12:00:41.615034+00"
"website_clicks","day","2021-09-08 07:00:00+00",0,"2021-09-09 12:00:41.615034+00"
"impressions","day","2021-09-09 07:00:00+00",159,"2021-09-10 12:00:46.485827+00"
"profile_views","day","2021-09-09 07:00:00+00",34,"2021-09-10 12:00:46.485827+00"
"reach","day","2021-09-09 07:00:00+00",89,"2021-09-10 12:00:46.485827+00"
"website_clicks","day","2021-09-09 07:00:00+00",0,"2021-09-10 12:00:46.485827+00"
"impressions","day","2021-09-10 07:00:00+00",90,"2021-09-11 12:00:39.532204+00"
"profile_views","day","2021-09-10 07:00:00+00",16,"2021-09-11 12:00:39.532204+00"
"reach","day","2021-09-10 07:00:00+00",61,"2021-09-11 12:00:39.532204+00"
"website_clicks","day","2021-09-10 07:00:00+00",0,"2021-09-11 12:00:39.532204+00"
"impressions","day","2021-09-11 07:00:00+00",134,"2021-09-12 12:00:39.857372+00"
"profile_views","day","2021-09-11 07:00:00+00",21,"2021-09-12 12:00:39.857372+00"
"reach","day","2021-09-11 07:00:00+00",60,"2021-09-12 12:00:39.857372+00"
"website_clicks","day","2021-09-11 07:00:00+00",0,"2021-09-12 12:00:39.857372+00"
"impressions","day","2021-09-12 07:00:00+00",851,"2021-09-13 12:00:39.657698+00"
"profile_views","day","2021-09-12 07:00:00+00",42,"2021-09-13 12:00:39.657698+00"
"reach","day","2021-09-12 07:00:00+00",538,"2021-09-13 12:00:39.657698+00"
"website_clicks","day","2021-09-12 07:00:00+00",0,"2021-09-13 12:00:39.657698+00"
"impressions","day","2021-09-13 07:00:00+00",505,"2021-09-14 12:00:37.129942+00"
"profile_views","day","2021-09-13 07:00:00+00",41,"2021-09-14 12:00:37.129942+00"
"reach","day","2021-09-13 07:00:00+00",288,"2021-09-14 12:00:37.129942+00"
"website_clicks","day","2021-09-13 07:00:00+00",1,"2021-09-14 12:00:37.129942+00"
"impressions","day","2021-09-14 07:00:00+00",246,"2021-09-15 12:00:36.721627+00"
"profile_views","day","2021-09-14 07:00:00+00",28,"2021-09-15 12:00:36.721627+00"
"reach","day","2021-09-14 07:00:00+00",167,"2021-09-15 12:00:36.721627+00"
"website_clicks","day","2021-09-14 07:00:00+00",0,"2021-09-15 12:00:36.721627+00"
"impressions","day","2021-09-15 07:00:00+00",182,"2021-09-16 12:00:38.660731+00"
"profile_views","day","2021-09-15 07:00:00+00",15,"2021-09-16 12:00:38.660731+00"
"reach","day","2021-09-15 07:00:00+00",108,"2021-09-16 12:00:38.660731+00"
"website_clicks","day","2021-09-15 07:00:00+00",0,"2021-09-16 12:00:38.660731+00"
"impressions","day","2021-09-16 07:00:00+00",395,"2021-09-17 12:00:40.066898+00"
"profile_views","day","2021-09-16 07:00:00+00",33,"2021-09-17 12:00:40.066898+00"
