user_account,followers_count,follows_count,media_count,created_date,followers_count_group,,,
 comp 3,864,431,102,2021-10-01 18:00:40.59503+00,Under 1k,,,
 comp 10,11420,4232,377,2021-09-30 03:00:37.562946+00,Over 10k,,,
 comp 10,11417,4235,378,2021-10-01 18:00:40.59503+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 18:00:40.59503+00,1k-5k,,,
 comp 15,9069,6874,977,2021-10-01 18:00:40.59503+00,5k-10k,,,
 comp 14,3481,820,90,2021-09-30 03:00:37.562946+00,1k-5k,,,
 comp 15,9078,6865,976,2021-09-30 03:00:37.562946+00,5k-10k,,,
 comp 17,17051,856,264,2021-10-01 18:00:40.59503+00,Over 10k,,,
 comp 17,16753,854,263,2021-09-30 03:00:37.562946+00,Over 10k,,,
 comp 18,6041,1740,671,2021-09-30 03:00:37.562946+00,5k-10k,,,
 comp 18,6050,1746,674,2021-10-01 18:00:40.59503+00,5k-10k,,,
nomadpursuit,960,418,72,2021-09-30 04:00:35.387673+00,Under 1k,,,
 comp 2,1114,915,25,2021-09-30 04:00:35.387673+00,1k-5k,,,
 comp 3,859,428,100,2021-09-30 04:00:35.387673+00,Under 1k,,,
 comp 10,11420,4232,377,2021-09-30 04:00:35.387673+00,Over 10k,,,
 comp 14,3481,820,90,2021-09-30 04:00:35.387673+00,1k-5k,,,
 comp 15,9078,6866,976,2021-09-30 04:00:35.387673+00,5k-10k,,,
 comp 17,16759,854,263,2021-09-30 04:00:35.387673+00,Over 10k,,,
