media_id,engagement,impressions,reach,saved,time_period,created_date
1.7911E+16,226,615,481,9,lifetime,2021-09-30 08:01:01.91006+00
1.79208E+16,238,1263,1249,6,lifetime,2021-09-30 08:01:01.91006+00
1.8175E+16,257,813,709,3,lifetime,2021-09-30 08:01:01.91006+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 08:01:01.91006+00
1.79236E+16,248,735,632,4,lifetime,2021-09-30 08:01:01.91006+00
1.79129E+16,184,468,433,2,lifetime,2021-10-01 19:00:53.962507+00
1.79735E+16,166,487,411,3,lifetime,2021-10-01 19:00:53.962507+00
1.79003E+16,151,565,518,2,lifetime,2021-10-01 19:00:53.962507+00
1.79809E+16,248,1673,1586,6,lifetime,2021-10-01 19:00:53.962507+00
1.7911E+16,227,637,499,9,lifetime,2021-10-01 19:00:53.962507+00
1.79208E+16,239,1277,1266,6,lifetime,2021-10-01 19:00:53.962507+00
1.8175E+16,257,816,711,3,lifetime,2021-10-01 19:00:53.962507+00
1.81905E+16,169,415,334,3,lifetime,2021-10-01 19:00:53.962507+00
1.79236E+16,248,735,632,4,lifetime,2021-10-01 19:00:53.962507+00
1.82488E+16,180,647,588,3,lifetime,2021-10-01 19:00:53.962507+00
1.79129E+16,173,439,413,2,lifetime,2021-09-30 14:00:54.467594+00
1.79735E+16,162,451,383,3,lifetime,2021-09-30 14:00:54.467594+00
1.79003E+16,146,550,508,2,lifetime,2021-09-30 14:00:54.467594+00
1.79809E+16,247,1660,1575,6,lifetime,2021-09-30 14:00:54.467594+00
1.7911E+16,227,617,484,9,lifetime,2021-09-30 14:00:54.467594+00
1.79208E+16,239,1264,1249,6,lifetime,2021-09-30 14:00:54.467594+00
1.8175E+16,257,814,710,3,lifetime,2021-09-30 14:00:54.467594+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 14:00:54.467594+00
1.79236E+16,248,735,632,4,lifetime,2021-09-30 14:00:54.467594+00
1.79129E+16,166,427,401,2,lifetime,2021-09-30 09:00:51.805318+00
1.79735E+16,162,446,381,3,lifetime,2021-09-30 09:00:51.805318+00
1.79003E+16,146,550,508,2,lifetime,2021-09-30 09:00:51.805318+00
1.79809E+16,247,1660,1575,6,lifetime,2021-09-30 09:00:51.805318+00
1.7911E+16,226,615,481,9,lifetime,2021-09-30 09:00:51.805318+00
1.79208E+16,238,1263,1249,6,lifetime,2021-09-30 09:00:51.805318+00
1.8175E+16,257,813,709,3,lifetime,2021-09-30 09:00:51.805318+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 09:00:51.805318+00
1.79236E+16,248,735,632,4,lifetime,2021-09-30 09:00:51.805318+00
1.79129E+16,185,468,433,2,lifetime,2021-10-01 20:00:50.20196+00
1.79735E+16,167,487,411,3,lifetime,2021-10-01 20:00:50.20196+00
1.79003E+16,151,566,520,2,lifetime,2021-10-01 20:00:50.20196+00
1.79809E+16,248,1673,1586,6,lifetime,2021-10-01 20:00:50.20196+00
1.7911E+16,227,637,499,9,lifetime,2021-10-01 20:00:50.20196+00
1.79208E+16,239,1277,1266,6,lifetime,2021-10-01 20:00:50.20196+00
1.8175E+16,257,816,711,3,lifetime,2021-10-01 20:00:50.20196+00
1.81905E+16,169,415,334,3,lifetime,2021-10-01 20:00:50.20196+00
1.79236E+16,248,735,632,4,lifetime,2021-10-01 20:00:50.20196+00
1.82488E+16,180,647,588,3,lifetime,2021-10-01 20:00:50.20196+00
1.79129E+16,167,427,401,2,lifetime,2021-09-30 10:00:48.546224+00
1.79735E+16,162,448,383,3,lifetime,2021-09-30 10:00:48.546224+00
1.79003E+16,146,550,508,2,lifetime,2021-09-30 10:00:48.546224+00
1.79809E+16,247,1660,1575,6,lifetime,2021-09-30 10:00:48.546224+00
1.7911E+16,226,616,483,9,lifetime,2021-09-30 10:00:48.546224+00
1.79208E+16,238,1263,1249,6,lifetime,2021-09-30 10:00:48.546224+00
1.8175E+16,257,813,709,3,lifetime,2021-09-30 10:00:48.546224+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 10:00:48.546224+00
1.79236E+16,248,735,632,4,lifetime,2021-09-30 10:00:48.546224+00
1.79129E+16,173,441,414,2,lifetime,2021-09-30 15:00:52.061243+00
1.79735E+16,162,452,384,3,lifetime,2021-09-30 15:00:52.061243+00
1.79003E+16,146,550,508,2,lifetime,2021-09-30 15:00:52.061243+00
1.79809E+16,247,1660,1575,6,lifetime,2021-09-30 15:00:52.061243+00
1.7911E+16,227,617,484,9,lifetime,2021-09-30 15:00:52.061243+00
1.79208E+16,239,1264,1249,6,lifetime,2021-09-30 15:00:52.061243+00
1.8175E+16,257,814,710,3,lifetime,2021-09-30 15:00:52.061243+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 15:00:52.061243+00
1.79236E+16,248,735,632,4,lifetime,2021-09-30 15:00:52.061243+00
1.79129E+16,185,470,433,2,lifetime,2021-10-01 21:00:50.286329+00
1.79735E+16,167,489,412,3,lifetime,2021-10-01 21:00:50.286329+00
1.79003E+16,151,566,520,2,lifetime,2021-10-01 21:00:50.286329+00
1.79809E+16,248,1674,1588,6,lifetime,2021-10-01 21:00:50.286329+00
1.7911E+16,227,638,500,9,lifetime,2021-10-01 21:00:50.286329+00
1.79208E+16,239,1278,1266,6,lifetime,2021-10-01 21:00:50.286329+00
1.8175E+16,257,817,713,3,lifetime,2021-10-01 21:00:50.286329+00
1.81905E+16,169,416,335,3,lifetime,2021-10-01 21:00:50.286329+00
1.79236E+16,248,736,634,4,lifetime,2021-10-01 21:00:50.286329+00
1.82488E+16,180,648,588,3,lifetime,2021-10-01 21:00:50.286329+00
1.79129E+16,168,430,402,2,lifetime,2021-09-30 11:00:49.214773+00
1.79735E+16,162,448,383,3,lifetime,2021-09-30 11:00:49.214773+00
1.79003E+16,146,550,508,2,lifetime,2021-09-30 11:00:49.214773+00
1.79809E+16,247,1660,1575,6,lifetime,2021-09-30 11:00:49.214773+00
1.7911E+16,226,616,483,9,lifetime,2021-09-30 11:00:49.214773+00
1.79208E+16,238,1263,1249,6,lifetime,2021-09-30 11:00:49.214773+00
1.8175E+16,257,813,709,3,lifetime,2021-09-30 11:00:49.214773+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 11:00:49.214773+00
1.79236E+16,248,735,632,4,lifetime,2021-09-30 11:00:49.214773+00
1.79129E+16,169,432,404,2,lifetime,2021-09-30 12:00:51.616531+00
1.79735E+16,162,449,383,3,lifetime,2021-09-30 12:00:51.616531+00
1.79003E+16,146,550,508,2,lifetime,2021-09-30 12:00:51.616531+00
1.79809E+16,247,1660,1575,6,lifetime,2021-09-30 12:00:51.616531+00
1.7911E+16,226,616,483,9,lifetime,2021-09-30 12:00:51.616531+00
1.79208E+16,238,1263,1249,6,lifetime,2021-09-30 12:00:51.616531+00
1.8175E+16,257,813,709,3,lifetime,2021-09-30 12:00:51.616531+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 12:00:51.616531+00
1.79236E+16,248,735,632,4,lifetime,2021-09-30 12:00:51.616531+00
1.79129E+16,185,470,433,2,lifetime,2021-10-01 22:00:50.880211+00
1.79735E+16,167,489,412,3,lifetime,2021-10-01 22:00:50.880211+00
1.79003E+16,151,566,520,2,lifetime,2021-10-01 22:00:50.880211+00
1.79809E+16,248,1674,1588,6,lifetime,2021-10-01 22:00:50.880211+00
1.7911E+16,227,638,500,9,lifetime,2021-10-01 22:00:50.880211+00
1.79208E+16,239,1279,1266,6,lifetime,2021-10-01 22:00:50.880211+00
1.8175E+16,257,817,713,3,lifetime,2021-10-01 22:00:50.880211+00
1.81905E+16,169,416,335,3,lifetime,2021-10-01 22:00:50.880211+00
1.79236E+16,248,736,634,4,lifetime,2021-10-01 22:00:50.880211+00
1.82488E+16,180,648,588,3,lifetime,2021-10-01 22:00:50.880211+00
1.79129E+16,173,441,414,2,lifetime,2021-09-30 16:00:54.307069+00
1.79735E+16,162,452,385,3,lifetime,2021-09-30 16:00:54.307069+00
1.79003E+16,146,550,508,2,lifetime,2021-09-30 16:00:54.307069+00
1.79809E+16,247,1660,1575,6,lifetime,2021-09-30 16:00:54.307069+00
1.7911E+16,227,617,484,9,lifetime,2021-09-30 16:00:54.307069+00
1.79208E+16,239,1264,1249,6,lifetime,2021-09-30 16:00:54.307069+00
1.8175E+16,257,814,710,3,lifetime,2021-09-30 16:00:54.307069+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 16:00:54.307069+00
1.79236E+16,248,735,632,4,lifetime,2021-09-30 16:00:54.307069+00
1.79129E+16,170,435,408,2,lifetime,2021-09-30 13:00:50.812485+00
1.79735E+16,162,450,383,3,lifetime,2021-09-30 13:00:50.812485+00
1.79003E+16,146,550,508,2,lifetime,2021-09-30 13:00:50.812485+00
1.79809E+16,247,1660,1575,6,lifetime,2021-09-30 13:00:50.812485+00
1.7911E+16,227,617,483,9,lifetime,2021-09-30 13:00:50.812485+00
1.79208E+16,239,1264,1249,6,lifetime,2021-09-30 13:00:50.812485+00
1.8175E+16,257,814,710,3,lifetime,2021-09-30 13:00:50.812485+00
